				eVar28	Banner Name	Spring Sale Hero, New In Kitchen, Trade Account Promo	digitalData.banner.name				Banner Name			
				eVar29	Banner Position	1, 2, 3	digitalData.banner.position				Banner Position			
				event13	Banner Clicks	Counts once per click	Fires on the direct call				Not applicable			
KES-S021	KES-R014, KES-R015	Navigation	A navigation link is clicked, anywhere in the header, the main menu or the footer	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Navigation Click	navigation_click	Page Name	One rule covers the header, the main menu and the footer. Set the navigation level so the three can be told apart in reporting, and set the item to the full path the customer clicked, joined with a colon.		
				eVar30	Navigation Item	Furniture:Sofas and Armchairs:3 Seat Sofas, Footer:Delivery Information	digitalData.navigation.item				Navigation Item			
				eVar31	Navigation Level	Header, Main Menu, Footer	digitalData.navigation.level				Navigation Level			
				event14	Navigation Clicks	Counts once per click	Fires on the direct call				Not applicable			
KES-S022	KES-R029	Showrooms	A showroom is looked up	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Showroom Lookup	showroom_lookup	Page Name	Fire when a showroom result is shown, not when the search box is opened. Set the showroom and the city the customer searched for, which is not always the city the showroom is in.		
				eVar32	Showroom	Kestrel Guildford, Kestrel Leeds City	digitalData.showroom.name				Showroom			
				eVar33	Showroom City	The city the customer searched for	digitalData.showroom.searchCity				Showroom City			
				event25	Showroom Lookups	Counts once per lookup	Fires on the direct call				Not applicable			
KES-S023	KES-R030, KES-R031	Forms	A form is started, and a form is submitted. One solution covers every form on the site.	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Form Start, Form Submit	form_start, form_submit	Page Name	Two calls, one solution. Set the form name, then call _satellite.track('form_start') when the customer first types into any field, and _satellite.track('form_submit') when the submission is accepted. Fire the start once per form per page view, not once per field. Use the same form name in both calls, or the two numbers cannot be compared.		
				eVar34	Form Name	Trade Account Application, Contact Us, Newsletter Signup	digitalData.form.name				Form Name			
				event22	Form Starts	Counts once per form started	Fires on form_start				Not applicable			
				event23	Form Submissions	Counts once per form accepted	Fires on form_submit				Not applicable			
KES-S024	KES-R035	Errors	An error is shown to the customer	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Error	error	Page Name	Set the error type and the detail, then call _satellite.track('error'). The detail is the message the customer sees. A page not found must also carry the URL that was not found, because the error is useless without it.		
				eVar35	Error Type	Page Not Found, Payment Gateway, Form Validation, Server Error	digitalData.error.type				Error Type			
				eVar36	Error Detail	The message shown, or the URL that was not found	digitalData.error.detail				Error Detail			
				event24	Errors	Counts once per error shown	Fires on the direct call				Not applicable			
