#TAB	green
#TITLE	Commerce - from a product click to an order or a failed payment
#FREEZE	4
#WIDTHS	14	20	18	38	16	24	32	34	14	20	20	20	90	44	40
#FILLS	orange	orange	orange	orange	orange	orange	orange	green	green	green	green	green	green	green	green
#COMMENTS	Unique and permanent. Quoted in the technical document, in every test result and in every status call until the project closes. Never renumber one.	The requirement or requirements from the BRD that this solution answers. STD means every implementation needs this and nobody asked for it.	The part of the site or the mechanism. Groups solutions that share a shape.	What is being solved, in one line, written so a business reader recognises their own request.	The variable or event that will carry the value. (M) is merchandising. (n) is numeric. (M n) is a numeric merchandising event.	The report name the variable will carry. Agreed here, because this is what the business will see in Workspace.	The format and a real example value. Enough that a developer and an analyst read the same meaning.		How the value is populated: a data layer object set by the site, or code inside the tag manager.	Page load, event based or direct call.	The rule name in the tag manager. It matches this exactly, including case.	Page load = the page condition. Event based = the element. Direct call = the identifier string.	The data element that holds this value. One element per data layer object, never the raw path inside a rule.	Instructions to the site developer. This is the only column they need to read. Everything they must populate, and the order it must happen in.	The product objects this solution needs, listed separately because eleven solutions share them.	Where custom code is required. The code itself is on the Custom Code sheet.
Solution ID	Requirement ID	Solution Component	Requirement	Variable / Event	Name	Details and example values	Data layer object or tool code	Rule type	Rule name	Rule condition	Data element	Developer instructions	Product data layer	Custom code
KES-S008	KES-R005	Cart	The cart page is viewed	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Cart View	cart_view	Page Name	Populate the product objects with every product in the cart as an array, then call _satellite.track('cart_view'). Each product needs its own entry. One entry holding several IDs will report as a single product that does not exist.	digitalData.product[] as an array, one entry per product	
				products	Product	Every product in the cart, comma separated	digitalData.product[]				Product String			
				event4 (M n)	Discount Value	Currency. The discount carried by each product.	digitalData.product[].discount				Product Discount			
				scView	Cart Views	Adobe reserved event	Fires on the direct call				Not applicable			
KES-S009	KES-R006	Checkout	The checkout is started	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Checkout Start	checkout_start	Page Name	Fire when the customer leaves the cart for the first checkout step. Carry the full cart. Fire it once, on the transition. Firing it again when the customer moves back and forward through the steps will inflate the checkout count.	digitalData.product[] as an array, one entry per product	
				products	Product	Every product in the cart	digitalData.product[]				Product String			
				scCheckout	Checkouts	Adobe reserved event	Fires on the direct call				Not applicable			
KES-S010	KES-R007, KES-R012	Checkout	The delivery step is completed, and the delivery option is known	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Checkout Delivery	checkout_delivery	Page Name	Fire when the customer confirms the delivery step and moves to payment. Set the delivery option before the call. When the option is showroom collection, also set the showroom.	digitalData.product[] as an array, one entry per product	
				eVar18	Delivery Option	Standard, Express, Named Day, Showroom Collection	digitalData.checkout.deliveryOption				Delivery Option			
				eVar32	Showroom	Only when the option is Showroom Collection	digitalData.checkout.showroom				Showroom			
				products	Product	Every product in the cart	digitalData.product[]				Product String			
				event5 (n)	Delivery Charge	Currency. Zero is a real value and must be sent as zero.	digitalData.checkout.deliveryCharge				Delivery Charge			
				event7	Delivery Step Completions	Counts once per completion	Fires on the direct call				Not applicable			
KES-S011	KES-R008	Checkout	The payment step is completed, and the payment method is known	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Checkout Payment	checkout_payment	Page Name	Fire when the customer confirms the payment method, before the gateway takes over. This is the last event the site controls, so anything the order needs and the gateway will not return has to be set here.	digitalData.product[] as an array, one entry per product	
				eVar19	Payment Method	Card, PayPal, Klarna, Gift Card, Finance	digitalData.checkout.paymentMethod				Payment Method			
				products	Product	Every product in the cart	digitalData.product[]				Product String			
				event8	Payment Step Completions	Counts once per completion	Fires on the direct call				Not applicable			
KES-S012	KES-R009, KES-R032, KES-R034	Order	An order is completed	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Purchase	purchase	Page Name	Fire once, on the order confirmation view, and only when the order object holds an order ID. The gateway can return the customer to this view more than once, so guard the call on a flag that is set the first time and checked before firing.	digitalData.product[] as an array, one entry per product	Guard against a repeated order. See the Custom Code sheet.
				eVar20	Order ID	The order number shown to the customer	digitalData.transaction.orderId				Order ID			
				eVar19	Payment Method	Card, PayPal, Klarna, Gift Card, Finance	digitalData.checkout.paymentMethod				Payment Method			
				eVar18	Delivery Option	Standard, Express, Named Day, Showroom Collection	digitalData.checkout.deliveryOption				Delivery Option			
				products	Product	Every product ordered, with quantity and price	digitalData.product[]				Product String			
				event4 (M n)	Discount Value	Currency. Per product.	digitalData.product[].discount				Product Discount			
				purchase	Orders, Units, Revenue	Adobe reserved event. Revenue comes from the product string, not from a separate value.	Fires on the direct call				Not applicable			
KES-S013	KES-R010	Order	A payment fails	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Payment Failure	payment_failure	Page Name	Fire when the gateway returns a failure and the customer is shown a failure message. Set the reason to the message the customer sees, not the gateway error code, unless the two are the same.	digitalData.product[] as an array, one entry per product	
				eVar22	Payment Failure Reason	Card Declined, Insufficient Funds, Gateway Timeout, Address Mismatch, Cancelled by Customer	digitalData.checkout.failureReason				Failure Reason			
				eVar19	Payment Method	Card, PayPal, Klarna, Gift Card, Finance	digitalData.checkout.paymentMethod				Payment Method			
				products	Product	Every product in the cart	digitalData.product[]				Product String			
				event9	Payment Failures	Counts once per failure	Fires on the direct call				Not applicable			
				event10 (n)	Revenue at Risk	Currency. The order value that failed.	digitalData.checkout.orderValue				Order Value			
KES-S014	KES-R011	Promotions	A discount code is applied	pageName	Page		digitalData.page.pageInfo.pageName	Direct Call	Discount Applied	discount_applied	Page Name	Fire only when the code is accepted. A rejected code is not a discount application. If the business later wants rejected codes, that is a change request and a second solution.	digitalData.product[] as an array, one entry per product	
				eVar21	Discount Code	SPRING25, TRADE10, WELCOME	digitalData.cart.discountCode				Discount Code			
				products	Product	Every product in the cart	digitalData.product[]				Product String			
				event11	Discount Applications	Counts once per accepted code	Fires on the direct call				Not applicable			
